lat,long,elev,timediff,OBUID
408647293,-778305359,3396,0:38:42.100000,2a3c600d
408647850,-778304933,3304,0:38:42.250000,2a3c603c
408647293,-778305359,3396,0:38:42.270000,2a3c600d
408647850,-778304933,3304,0:38:42.420000,2a3c603c
408647293,-778305359,3396,0:38:42.490000,2a3c600d
408647850,-778304933,3304,0:38:42.540000,2a3c603c
408647293,-778305359,3396,0:38:42.670000,2a3c600d
408647850,-778304933,3304,0:38:42.730000,2a3c603c
408647293,-778305359,3396,0:38:42.750000,2a3c600d
408647850,-778304933,3304,0:38:42.880000,2a3c603c
408647293,-778305359,3396,0:38:43.080000,2a3c600d
408647850,-778304933,3304,0:38:43.350000,2a3c603c
408647293,-778305359,3396,0:38:43.350000,2a3c600d
408647850,-778304933,3304,0:38:43.360000,2a3c603c
408647293,-778305358,3397,0:38:43.410000,2a3c600d
408647850,-778304933,3304,0:38:43.490000,2a3c603c
408647293,-778305358,3397,0:38:43.610000,2a3c600d
408647850,-778304933,3304,0:38:43.660000,2a3c603c
408647293,-778305358,3397,0:38:43.680000,2a3c600d
408647850,-778304933,3304,0:38:43.690000,2a3c603c
408647293,-778305358,3397,0:38:43.780000,2a3c600d
408647850,-778304933,3304,0:38:43.810000,2a3c603c
408647293,-778305358,3397,0:38:43.900000,2a3c600d
408647850,-778304933,3304,0:38:44.020000,2a3c603c
408647293,-778305358,3397,0:38:44.220000,2a3c600d
408647850,-778304933,3304,0:38:44.240000,2a3c603c
408647293,-778305358,3397,0:38:44.310000,2a3c600d
408647850,-778304933,3304,0:38:44.420000,2a3c603c
408647293,-778305358,3397,0:38:44.510000,2a3c600d
408647850,-778304933,3304,0:38:44.630000,2a3c603c
408647293,-778305358,3397,0:38:44.720000,2a3c600d
408647850,-778304933,3304,0:38:44.840000,2a3c603c
408647292,-778305355,3397,0:38:44.840000,2a3c600d
408647850,-778304932,3304,0:38:44.840000,2a3c603c
408647292,-778305355,3397,0:38:44.850000,2a3c600d
408647850,-778304932,3304,0:38:44.860000,2a3c603c
408647292,-778305356,3397,0:38:44.860000,2a3c600d
408647850,-778304932,3304,0:38:44.870000,2a3c603c
408647292,-778305355,3397,0:38:44.870000,2a3c600d
408647850,-778304932,3304,0:38:44.870000,2a3c603c
408647292,-778305355,3397,0:38:44.880000,2a3c600d
408647850,-778304932,3304,0:38:44.880000,2a3c603c
408647292,-778305355,3397,0:38:44.890000,2a3c600d
408647850,-778304932,3304,0:38:44.890000,2a3c603c
408647292,-778305355,3397,0:38:44.900000,2a3c600d
408647850,-778304932,3304,0:38:44.900000,2a3c603c
408647292,-778305355,3397,0:38:44.900000,2a3c600d
408647850,-778304932,3304,0:38:44.910000,2a3c603c
408647292,-778305355,3397,0:38:44.910000,2a3c600d
408647850,-778304932,3304,0:38:44.920000,2a3c603c
408647292,-778305355,3397,0:38:44.920000,2a3c600d
408647850,-778304932,3304,0:38:44.930000,2a3c603c
408647292,-778305355,3397,0:38:44.930000,2a3c600d
408647850,-778304932,3304,0:38:44.940000,2a3c603c
408647294,-778305351,3397,0:38:44.940000,2a3c600d
408647850,-778304932,3304,0:38:44.940000,2a3c603c
408647294,-778305351,3397,0:38:44.950000,2a3c600d
408647850,-778304932,3304,0:38:44.950000,2a3c603c
408647294,-778305351,3397,0:38:44.950000,2a3c600d
408647850,-778304932,3304,0:38:44.990000,2a3c603c
408647294,-778305351,3397,0:38:45.030000,2a3c600d
408647850,-778304932,3304,0:38:45.090000,2a3c603c
408647294,-778305351,3397,0:38:45.130000,2a3c600d
408647850,-778304932,3304,0:38:45.190000,2a3c603c
408647294,-778305351,3397,0:38:45.230000,2a3c600d
408647850,-778304932,3304,0:38:45.290000,2a3c603c
408647294,-778305351,3397,0:38:45.330000,2a3c600d
408647850,-778304932,3304,0:38:45.390000,2a3c603c
408647294,-778305351,3397,0:38:45.430000,2a3c600d
408647850,-778304932,3304,0:38:45.490000,2a3c603c
408647294,-778305351,3397,0:38:45.530000,2a3c600d
408647850,-778304932,3304,0:38:45.590000,2a3c603c
408647294,-778305351,3397,0:38:45.630000,2a3c600d
408647850,-778304932,3304,0:38:45.690000,2a3c603c
408647294,-778305347,3397,0:38:45.730000,2a3c600d
408647850,-778304932,3304,0:38:45.790000,2a3c603c
408647294,-778305347,3397,0:38:45.830000,2a3c600d
408647850,-778304932,3304,0:38:45.890000,2a3c603c
408647294,-778305347,3397,0:38:45.930000,2a3c600d
408647850,-778304932,3304,0:38:45.990000,2a3c603c
408647294,-778305347,3397,0:38:46.030000,2a3c600d
408647850,-778304932,3304,0:38:46.090000,2a3c603c
408647294,-778305347,3397,0:38:46.130000,2a3c600d
408647850,-778304932,3304,0:38:46.190000,2a3c603c
408647294,-778305347,3397,0:38:46.230000,2a3c600d
408647850,-778304932,3304,0:38:46.290000,2a3c603c
408647294,-778305347,3397,0:38:46.330000,2a3c600d
408647850,-778304932,3304,0:38:46.390000,2a3c603c
408647294,-778305347,3397,0:38:46.440000,2a3c600d
408647850,-778304932,3304,0:38:46.490000,2a3c603c
408647294,-778305347,3397,0:38:46.530000,2a3c600d
408647850,-778304932,3304,0:38:46.590000,2a3c603c
408647294,-778305347,3397,0:38:46.630000,2a3c600d
408647850,-778304932,3304,0:38:46.690000,2a3c603c
408647295,-778305344,3397,0:38:46.730000,2a3c600d
408647850,-778304932,3304,0:38:46.790000,2a3c603c
408647295,-778305344,3397,0:38:46.830000,2a3c600d
408647850,-778304932,3304,0:38:46.890000,2a3c603c
408647295,-778305344,3397,0:38:46.930000,2a3c600d
408647850,-778304932,3304,0:38:46.990000,2a3c603c
408647295,-778305344,3397,0:38:47.030000,2a3c600d
408647850,-778304932,3304,0:38:47.090000,2a3c603c
408647295,-778305344,3397,0:38:47.130000,2a3c600d
408647850,-778304932,3304,0:38:47.190000,2a3c603c
408647295,-778305344,3397,0:38:47.230000,2a3c600d
408647850,-778304932,3304,0:38:47.290000,2a3c603c
408647295,-778305344,3397,0:38:47.330000,2a3c600d
408647850,-778304932,3304,0:38:47.390000,2a3c603c
408647295,-778305344,3397,0:38:47.430000,2a3c600d
408647850,-778304932,3304,0:38:47.490000,2a3c603c
408647295,-778305344,3397,0:38:47.540000,2a3c600d
408647850,-778304932,3304,0:38:47.590000,2a3c603c
408647295,-778305344,3397,0:38:47.630000,2a3c600d
408647850,-778304931,3304,0:38:47.690000,2a3c603c
408647296,-778305341,3398,0:38:47.730000,2a3c600d
408647850,-778304931,3304,0:38:47.790000,2a3c603c
408647296,-778305341,3398,0:38:47.830000,2a3c600d
408647850,-778304931,3304,0:38:47.890000,2a3c603c
408647296,-778305341,3398,0:38:47.930000,2a3c600d
408647850,-778304931,3304,0:38:47.990000,2a3c603c
408647296,-778305341,3398,0:38:48.030000,2a3c600d
408647850,-778304931,3304,0:38:48.090000,2a3c603c
408647296,-778305341,3398,0:38:48.130000,2a3c600d
408647850,-778304931,3304,0:38:48.190000,2a3c603c
408647296,-778305341,3398,0:38:48.230000,2a3c600d
408647850,-778304931,3304,0:38:48.290000,2a3c603c
408647296,-778305341,3398,0:38:48.330000,2a3c600d
408647850,-778304931,3304,0:38:48.390000,2a3c603c
408647296,-778305341,3398,0:38:48.430000,2a3c600d
408647850,-778304931,3304,0:38:48.490000,2a3c603c
408647296,-778305341,3398,0:38:48.530000,2a3c600d
408647850,-778304931,3304,0:38:48.590000,2a3c603c
408647296,-778305341,3398,0:38:48.630000,2a3c600d
408647850,-778304931,3304,0:38:48.690000,2a3c603c
408647298,-778305338,3398,0:38:48.730000,2a3c600d
408647850,-778304931,3304,0:38:48.790000,2a3c603c
408647298,-778305338,3398,0:38:48.830000,2a3c600d
408647850,-778304931,3304,0:38:48.890000,2a3c603c
408647298,-778305338,3398,0:38:48.930000,2a3c600d
408647850,-778304931,3304,0:38:49,2a3c603c
408647298,-778305338,3398,0:38:49.030000,2a3c600d
408647850,-778304931,3304,0:38:49.090000,2a3c603c
408647298,-778305338,3398,0:38:49.130000,2a3c600d
408647850,-778304931,3304,0:38:49.190000,2a3c603c
408647298,-778305338,3398,0:38:49.230000,2a3c600d
408647850,-778304931,3304,0:38:49.290000,2a3c603c
408647298,-778305338,3398,0:38:49.330000,2a3c600d
408647850,-778304931,3304,0:38:49.390000,2a3c603c
408647298,-778305338,3398,0:38:49.430000,2a3c600d
408647850,-778304931,3304,0:38:49.490000,2a3c603c
408647298,-778305338,3398,0:38:49.530000,2a3c600d
408647850,-778304931,3304,0:38:49.590000,2a3c603c
408647298,-778305338,3398,0:38:49.630000,2a3c600d
408647850,-778304931,3304,0:38:49.690000,2a3c603c
408647299,-778305336,3398,0:38:49.730000,2a3c600d
408647850,-778304931,3304,0:38:49.790000,2a3c603c
408647299,-778305336,3398,0:38:49.830000,2a3c600d
408647850,-778304931,3304,0:38:49.890000,2a3c603c
408647299,-778305336,3398,0:38:49.930000,2a3c600d
408647850,-778304931,3304,0:38:49.990000,2a3c603c
408647299,-778305336,3398,0:38:50.030000,2a3c600d
408647850,-778304931,3304,0:38:50.100000,2a3c603c
408647299,-778305336,3398,0:38:50.130000,2a3c600d
408647850,-778304931,3304,0:38:50.190000,2a3c603c
408647299,-778305336,3398,0:38:50.230000,2a3c600d
408647850,-778304931,3304,0:38:50.290000,2a3c603c
408647299,-778305336,3398,0:38:50.330000,2a3c600d
408647850,-778304931,3304,0:38:50.390000,2a3c603c
408647299,-778305336,3398,0:38:50.430000,2a3c600d
408647850,-778304931,3304,0:38:50.490000,2a3c603c
408647299,-778305336,3398,0:38:50.530000,2a3c600d
408647850,-778304931,3304,0:38:50.590000,2a3c603c
408647299,-778305336,3398,0:38:50.640000,2a3c600d
408647850,-778304931,3304,0:38:50.690000,2a3c603c
408647300,-778305334,3398,0:38:50.730000,2a3c600d
408647850,-778304931,3304,0:38:50.790000,2a3c603c
408647300,-778305334,3398,0:38:50.830000,2a3c600d
