lat,long,elev,timediff,OBUID
408626788,-778342866,3335,0:07:53.710000,cc2adada
408647788,-778304980,3457,0:07:53.790000,2a3c600d
408626788,-778342866,3335,0:07:53.810000,cc2adada
408647788,-778304980,3457,0:07:53.890000,2a3c600d
408626788,-778342866,3335,0:07:53.910000,cc2adada
408647788,-778304980,3457,0:07:53.990000,2a3c600d
408626786,-778342869,3336,0:07:54.010000,cc2adada
408647788,-778304980,3457,0:07:54.090000,2a3c600d
408626786,-778342869,3336,0:07:54.110000,cc2adada
408647788,-778304980,3457,0:07:54.200000,2a3c600d
408626786,-778342869,3336,0:07:54.210000,cc2adada
408647788,-778304980,3457,0:07:54.350000,2a3c600d
408626786,-778342869,3336,0:07:54.350000,cc2adada
408647788,-778304980,3456,0:07:54.390000,2a3c600d
408647788,-778304980,3456,0:07:54.490000,2a3c600d
408626786,-778342869,3336,0:07:54.520000,cc2adada
408626784,-778342872,3336,0:07:54.520000,cc2adada
408647788,-778304980,3456,0:07:54.600000,2a3c600d
408626784,-778342872,3336,0:07:54.620000,cc2adada
408647788,-778304980,3456,0:07:54.690000,2a3c600d
408626784,-778342872,3336,0:07:54.710000,cc2adada
408647788,-778304980,3456,0:07:54.790000,2a3c600d
408647788,-778304980,3456,0:07:54.890000,2a3c600d
408626784,-778342872,3336,0:07:54.910000,cc2adada
408626785,-778342872,3336,0:07:54.920000,cc2adada
408647788,-778304980,3456,0:07:54.990000,2a3c600d
408626785,-778342872,3336,0:07:55.010000,cc2adada
408647788,-778304980,3456,0:07:55.100000,2a3c600d
408626783,-778342875,3336,0:07:55.120000,cc2adada
408647788,-778304980,3456,0:07:55.190000,2a3c600d
408626783,-778342875,3336,0:07:55.210000,cc2adada
408647788,-778304980,3456,0:07:55.290000,2a3c600d
408626783,-778342875,3336,0:07:55.310000,cc2adada
408647787,-778304981,3456,0:07:55.390000,2a3c600d
408626783,-778342875,3336,0:07:55.410000,cc2adada
408647787,-778304981,3456,0:07:55.490000,2a3c600d
408626783,-778342875,3336,0:07:55.510000,cc2adada
408647787,-778304981,3456,0:07:55.600000,2a3c600d
408626782,-778342878,3336,0:07:55.620000,cc2adada
408647787,-778304981,3456,0:07:55.700000,2a3c600d
408626782,-778342878,3336,0:07:55.720000,cc2adada
408647787,-778304981,3456,0:07:55.790000,2a3c600d
408626782,-778342878,3336,0:07:55.810000,cc2adada
408647787,-778304981,3456,0:07:55.890000,2a3c600d
408626782,-778342878,3336,0:07:55.910000,cc2adada
408647787,-778304981,3456,0:07:55.990000,2a3c600d
408626782,-778342878,3336,0:07:56.010000,cc2adada
408647787,-778304981,3456,0:07:56.090000,2a3c600d
408626781,-778342881,3336,0:07:56.110000,cc2adada
408647787,-778304981,3456,0:07:56.190000,2a3c600d
408626781,-778342881,3336,0:07:56.210000,cc2adada
408647787,-778304981,3456,0:07:56.300000,2a3c600d
408626781,-778342881,3336,0:07:56.310000,cc2adada
