lat,long,elev,timediff
408632664,-778351153,3370,00:00:00
408632664,-778351153,3370,00:00:00
408632664,-778351153,3370,00:00:00
408632664,-778351153,3370,00:00:00
408632664,-778351153,3370,00:00:00
408632664,-778351153,3370,00:00:00
408632664,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632663,-778351153,3370,00:00:00
408632613,-778351135,3370,00:00:00
408632596,-778351129,3370,00:00:00
408632582,-778351124,3370,00:00:00
408632567,-778351118,3370,00:00:00
408632551,-778351112,3370,00:00:00
408632532,-778351105,3370,00:00:00
408632532,-778351105,3370,00:00:00
408632501,-778351085,3370,00:00:00
408632483,-778351082,3369,00:00:00
408632466,-778351069,3369,00:00:00
408632460,-778351064,3369,00:00:00
408632460,-778351064,3369,00:00:00
408632441,-778351058,3369,00:00:00
408632422,-778351051,3369,00:00:00
408632403,-778351042,3369,00:00:00
408632384,-778351032,3369,00:00:00
408632364,-778351026,3368,00:00:00
408632343,-778351018,3368,00:00:00
408632322,-778351008,3368,00:00:00
408632303,-778351000,3368,00:00:00
408632280,-778350991,3368,00:00:00
408632267,-778350984,3369,00:00:00
408632242,-778350975,3368,00:00:00
408632216,-778350965,3368,00:00:00
408632192,-778350957,3368,00:00:00
408632166,-778350945,3368,00:00:00
408632139,-778350932,3368,00:00:00
408632112,-778350921,3367,00:00:00
408632083,-778350911,3367,00:00:00
408632054,-778350901,3368,00:00:00
408632024,-778350890,3367,00:00:00
408632006,-778350883,3366,00:00:00
408631971,-778350870,3365,00:00:00
408631941,-778350858,3365,00:00:00
408631908,-778350846,3365,00:00:00
408631875,-778350837,3365,00:00:00
408631839,-778350826,3364,00:00:00
408631803,-778350815,3364,00:00:00
408631770,-778350801,3364,00:00:00
408631737,-778350785,3363,00:00:00
408631700,-778350768,3363,00:00:00
408631669,-778350762,3363,00:00:00
408631629,-778350746,3362,00:00:00
408631590,-778350734,3362,00:00:00
408631550,-778350715,3362,00:00:00
408631505,-778350699,3361,00:00:00
408631459,-778350677,3361,00:00:00
408631416,-778350661,3360,00:00:00
408631372,-778350644,3360,00:00:00
408631323,-778350631,3360,00:00:00
408631278,-778350610,3360,00:00:00
408631245,-778350589,3359,00:00:00
408631201,-778350568,3359,00:00:00
408631153,-778350550,3358,00:00:00
408631109,-778350524,3358,00:00:00
408631061,-778350501,3357,00:00:00
408631011,-778350483,3357,00:00:00
408630962,-778350465,3356,00:00:00
408630912,-778350447,3356,00:00:00
408630863,-778350422,3357,00:00:00
408630815,-778350392,3357,00:00:00
408630776,-778350369,3357,00:00:00
408630725,-778350350,3357,00:00:00
408630675,-778350330,3356,00:00:00
408630624,-778350309,3356,00:00:00
408630573,-778350290,3356,00:00:00
408630518,-778350268,3356,00:00:00
408630468,-778350246,3356,00:00:00
408630417,-778350226,3356,00:00:00
408630364,-778350204,3356,00:00:00
408630309,-778350183,3356,00:00:00
408630256,-778350163,3355,00:00:00
408630200,-778350143,3355,00:00:00
408630146,-778350122,3355,00:00:00
408630085,-778350103,3355,00:00:00
408630026,-778350084,3355,00:00:00
408629966,-778350059,3356,00:00:00
408629908,-778350034,3355,00:00:00
408629846,-778350013,3355,00:00:00
408629784,-778349991,3355,00:00:00
408629721,-778349969,3355,00:00:00
408629662,-778349943,3356,00:00:00
408629598,-778349918,3356,00:00:00
408629534,-778349893,3356,00:00:00
408629470,-778349869,3356,00:00:00
408629407,-778349847,3356,00:00:00
408629341,-778349825,3355,00:00:00
408629275,-778349804,3355,00:00:00
408629210,-778349782,3355,00:00:00
408629145,-778349755,3356,00:00:00
408629080,-778349734,3355,00:00:00
408629019,-778349705,3355,00:00:00
408628952,-778349681,3355,00:00:00
408628887,-778349658,3355,00:00:00
408628821,-778349633,3355,00:00:00
408628755,-778349612,3355,00:00:00
408628689,-778349588,3355,00:00:00
408628623,-778349563,3355,00:00:00
408628555,-778349537,3355,00:00:00
408628488,-778349511,3355,00:00:00
408628422,-778349490,3355,00:00:00
408628354,-778349457,3356,00:00:00
408628285,-778349433,3356,00:00:00
408628217,-778349409,3356,00:00:00
408628151,-778349379,3356,00:00:00
408628082,-778349352,3355,00:00:00
408628012,-778349329,3355,00:00:00
408627944,-778349305,3355,00:00:00
408627873,-778349280,3355,00:00:00
408627802,-778349252,3355,00:00:00
408627734,-778349225,3355,00:00:00
408627667,-778349191,3355,00:00:00
408627595,-778349169,3355,00:00:00
408627524,-778349141,3355,00:00:00
408627453,-778349113,3355,00:00:00
408627384,-778349086,3354,00:00:00
408627314,-778349058,3354,00:00:00
408627242,-778349034,3354,00:00:00
408627172,-778349008,3354,00:00:00
408627102,-778348980,3354,00:00:00
408627032,-778348954,3354,00:00:00
408626963,-778348920,3354,00:00:00
408626893,-778348894,3354,00:00:00
408626822,-778348869,3354,00:00:00
408626753,-778348841,3354,00:00:00
408626683,-778348813,3354,00:00:00
408626611,-778348785,3354,00:00:00
408626544,-778348758,3354,00:00:00
408626477,-778348731,3354,00:00:00
408626409,-778348703,3354,00:00:00
408626341,-778348676,3354,00:00:00
408626277,-778348643,3353,00:00:00
408626207,-778348618,3353,00:00:00
408626139,-778348591,3353,00:00:00
408626072,-778348562,3352,00:00:00
408626006,-778348536,3353,00:00:00
408625939,-778348508,3353,00:00:00
408625872,-778348481,3352,00:00:00
408625805,-778348457,3352,00:00:00
408625737,-778348430,3352,00:00:00
408625671,-778348404,3352,00:00:00
408625605,-778348377,3352,00:00:00
408625541,-778348352,3352,00:00:00
408625473,-778348326,3352,00:00:00
408625407,-778348301,3352,00:00:00
408625341,-778348273,3352,00:00:00
408625273,-778348248,3352,00:00:00
408625211,-778348224,3351,00:00:00
408625144,-778348196,3351,00:00:00
408625080,-778348170,3352,00:00:00
408625014,-778348141,3351,00:00:00
408624951,-778348112,3350,00:00:00
408624888,-778348087,3350,00:00:00
408624823,-778348061,3350,00:00:00
408624760,-778348033,3350,00:00:00
408624697,-778348003,3350,00:00:00
408624634,-778347970,3350,00:00:00
408624570,-778347945,3350,00:00:00
408624509,-778347919,3350,00:00:00
408624449,-778347888,3350,00:00:00
408624390,-778347856,3350,00:00:00
408624332,-778347827,3349,00:00:00
408624273,-778347796,3349,00:00:00
408624214,-778347769,3349,00:00:00
408624159,-778347738,3349,00:00:00
408624105,-778347703,3349,00:00:00
408624052,-778347668,3349,00:00:00
408623996,-778347635,3349,00:00:00
408623942,-778347598,3349,00:00:00
408623892,-778347566,3349,00:00:00
408623842,-778347530,3349,00:00:00
408623792,-778347496,3349,00:00:00
408623747,-778347454,3348,00:00:00
408623700,-778347415,3348,00:00:00
408623654,-778347376,3348,00:00:00
408623610,-778347335,3348,00:00:00
408623566,-778347298,3348,00:00:00
408623524,-778347259,3348,00:00:00
408623483,-778347217,3348,00:00:00
408623441,-778347175,3348,00:00:00
408623403,-778347133,3348,00:00:00
408623361,-778347093,3348,00:00:00
408623329,-778347050,3348,00:00:00
408623295,-778347006,3348,00:00:00
408623263,-778346963,3348,00:00:00
408623232,-778346924,3348,00:00:00
408623199,-778346877,3348,00:00:00
408623168,-778346831,3347,00:00:00
408623141,-778346785,3347,00:00:00
408623112,-778346738,3347,00:00:00
408623086,-778346693,3347,00:00:00
408623056,-778346645,3347,00:00:00
408623036,-778346594,3347,00:00:00
408623016,-778346545,3347,00:00:00
408623004,-778346492,3347,00:00:00
408622986,-778346445,3347,00:00:00
408622968,-778346406,3347,00:00:00
408622949,-778346360,3347,00:00:00
408622934,-778346314,3347,00:00:00
408622924,-778346267,3347,00:00:00
408622917,-778346220,3347,00:00:00
408622902,-778346175,3347,00:00:00
408622899,-778346130,3347,00:00:00
408622890,-778346084,3347,00:00:00
408622887,-778346037,3347,00:00:00
408622885,-778345992,3348,00:00:00
408622885,-778345949,3348,00:00:00
408622883,-778345907,3348,00:00:00
408622886,-778345862,3348,00:00:00
408622886,-778345819,3348,00:00:00
408622887,-778345778,3348,00:00:00
408622879,-778345738,3349,00:00:00
408622888,-778345694,3349,00:00:00
408622894,-778345649,3349,00:00:00
408622902,-778345605,3349,00:00:00
408622911,-778345557,3350,00:00:00
408622922,-778345510,3350,00:00:00
408622934,-778345458,3350,00:00:00
408622946,-778345409,3350,00:00:00
408622962,-778345356,3350,00:00:00
408622977,-778345306,3350,00:00:00
408622986,-778345256,3349,00:00:00
408623006,-778345197,3350,00:00:00
408623026,-778345142,3350,00:00:00
408623049,-778345087,3350,00:00:00
408623070,-778345033,3350,00:00:00
408623070,-778345033,3350,00:00:00
408623095,-778344975,3350,00:00:00
408623120,-778344914,3350,00:00:00
408623148,-778344850,3350,00:00:00
408623177,-778344788,3351,00:00:00
408623208,-778344723,3350,00:00:00
408623229,-778344669,3351,00:00:00
408623268,-778344601,3350,00:00:00
408623303,-778344533,3350,00:00:00
408623341,-778344462,3350,00:00:00
408623377,-778344392,3351,00:00:00
408623417,-778344313,3350,00:00:00
408623456,-778344243,3351,00:00:00
408623496,-778344169,3350,00:00:00
408623540,-778344087,3350,00:00:00
408623582,-778344013,3351,00:00:00
408623616,-778343947,3350,00:00:00
408623662,-778343859,3350,00:00:00
408623706,-778343773,3350,00:00:00
408623752,-778343687,3350,00:00:00
408623800,-778343603,3350,00:00:00
408623848,-778343517,3351,00:00:00
408623898,-778343428,3351,00:00:00
408623946,-778343336,3351,00:00:00
408623997,-778343245,3351,00:00:00
