lat,long,elev,timediff
404303534,-798735661,2745,0:25:40.780000
404303534,-798735661,2745,0:25:40.880000
404303534,-798735661,2745,0:25:40.980000
404303534,-798735661,2745,0:25:41.080000
404303534,-798735661,2745,0:25:41.180000
404303534,-798735661,2745,0:25:41.280000
404303534,-798735661,2745,0:25:41.380000
404303533,-798735661,2745,0:25:41.480000
404303533,-798735661,2745,0:25:41.590000
404303533,-798735661,2745,0:25:41.680000
404303533,-798735661,2745,0:25:41.780000
404303533,-798735661,2745,0:25:41.880000
404303533,-798735661,2745,0:25:41.980000
404303533,-798735661,2745,0:25:42.080000
404303533,-798735661,2745,0:25:42.180000
404303533,-798735661,2745,0:25:42.280000
404303533,-798735661,2745,0:25:42.380000
404303533,-798735662,2745,0:25:42.480000
404303533,-798735662,2745,0:25:42.580000
404303533,-798735662,2745,0:25:42.680000
404303533,-798735662,2745,0:25:42.790000
404303533,-798735662,2745,0:25:42.880000
404303533,-798735662,2745,0:25:42.980000
404303533,-798735662,2745,0:25:43.080000
404303533,-798735662,2745,0:25:43.180000
404303533,-798735662,2745,0:25:43.280000
404303533,-798735662,2745,0:25:43.380000
404303532,-798735662,2745,0:25:43.480000
404303532,-798735662,2745,0:25:43.580000
404303532,-798735662,2745,0:25:43.690000
404303532,-798735662,2745,0:25:43.780000
404303532,-798735662,2745,0:25:43.880000
404303532,-798735662,2745,0:25:43.980000
404303532,-798735662,2745,0:25:44.080000
404303532,-798735662,2745,0:25:44.180000
404303532,-798735662,2745,0:25:44.280000
404303532,-798735662,2745,0:25:44.390000
404303531,-798735662,2745,0:25:44.480000
404303531,-798735662,2745,0:25:44.580000
404303531,-798735662,2745,0:25:44.690000
404303531,-798735662,2745,0:25:44.780000
404303531,-798735662,2745,0:25:44.880000
404303531,-798735662,2745,0:25:44.980000
404303531,-798735662,2745,0:25:45.080000
404303531,-798735662,2745,0:25:45.180000
404303531,-798735662,2745,0:25:45.290000
404303531,-798735662,2745,0:25:45.380000
404303531,-798735662,2745,0:25:45.480000
404303531,-798735662,2745,0:25:45.580000
404303531,-798735662,2745,0:25:45.680000
404303531,-798735662,2745,0:25:45.780000
404303531,-798735662,2745,0:25:45.880000
404303531,-798735662,2745,0:25:45.980000
404303531,-798735662,2745,0:25:46.080000
404303531,-798735662,2745,0:25:46.190000
404303531,-798735662,2745,0:25:46.280000
404303531,-798735662,2745,0:25:46.380000
404303530,-798735662,2745,0:25:46.480000
404303530,-798735662,2745,0:25:46.580000
404303530,-798735662,2745,0:25:46.680000
404303530,-798735662,2745,0:25:46.790000
404303530,-798735662,2745,0:25:46.880000
404303530,-798735662,2745,0:25:46.980000
404303530,-798735662,2745,0:25:47.090000
404303530,-798735662,2745,0:25:47.180000
404303530,-798735662,2745,0:25:47.280000
404303530,-798735662,2745,0:25:47.380000
404303530,-798735663,2745,0:25:47.480000
404303530,-798735663,2745,0:25:47.650000
404303530,-798735663,2745,0:25:47.860000
404303530,-798735663,2745,0:25:47.960000
404303530,-798735663,2745,0:25:48.090000
404303530,-798735663,2745,0:25:48.280000
404303530,-798735663,2745,0:25:48.360000
404303530,-798735663,2745,0:25:48.360000
404303530,-798735663,2745,0:25:48.370000
404303530,-798735663,2745,0:25:48.610000
404303529,-798735663,2745,0:25:48.610000
404303529,-798735663,2745,0:25:48.680000
404303529,-798735663,2745,0:25:48.830000
404303529,-798735663,2745,0:25:48.830000
404303529,-798735663,2745,0:25:48.890000
404303529,-798735663,2745,0:25:49
404303529,-798735663,2745,0:25:49.090000
404303529,-798735663,2745,0:25:49.220000
404303529,-798735663,2745,0:25:49.290000
404303529,-798735663,2745,0:25:49.420000
404303529,-798735663,2745,0:25:49.500000
404303529,-798735663,2745,0:25:49.510000
404303529,-798735663,2745,0:25:49.600000
404303529,-798735663,2745,0:25:49.800000
404303529,-798735663,2745,0:25:49.910000
404303529,-798735663,2745,0:25:49.970000
404303529,-798735663,2745,0:25:50.110000
404303529,-798735663,2745,0:25:50.240000
404303529,-798735663,2745,0:25:50.320000
404303529,-798735663,2745,0:25:50.450000
404303529,-798735663,2745,0:25:50.500000
404303529,-798735663,2745,0:25:50.580000
404303529,-798735663,2745,0:25:50.680000
404303529,-798735663,2745,0:25:50.780000
404303529,-798735663,2745,0:25:50.880000
404303529,-798735663,2745,0:25:50.980000
404303529,-798735663,2745,0:25:51.080000
404303529,-798735663,2745,0:25:51.180000
404303529,-798735663,2745,0:25:51.280000
404303529,-798735663,2745,0:25:51.380000
404303529,-798735663,2745,0:25:51.480000
404303529,-798735663,2745,0:25:51.580000
404303529,-798735663,2745,0:25:51.680000
404303529,-798735663,2745,0:25:51.780000
404303529,-798735663,2745,0:25:51.880000
404303529,-798735663,2745,0:25:51.980000
404303529,-798735663,2745,0:25:52
404303529,-798735663,2745,0:25:52.100000
404303529,-798735663,2745,0:25:52.210000
404303529,-798735663,2745,0:25:52.300000
404303529,-798735663,2745,0:25:52.410000
404303529,-798735663,2745,0:25:52.500000
404303529,-798735663,2745,0:25:52.600000
404303529,-798735663,2745,0:25:52.710000
404303529,-798735663,2745,0:25:52.810000
404303529,-798735663,2745,0:25:52.900000
404303529,-798735663,2745,0:25:53.010000
404303529,-798735663,2745,0:25:53.110000
404303529,-798735663,2745,0:25:53.200000
404303529,-798735663,2745,0:25:53.300000
404303530,-798735663,2745,0:25:53.400000
404303530,-798735663,2745,0:25:53.500000
404303530,-798735663,2745,0:25:53.600000
404303530,-798735663,2745,0:25:53.710000
404303530,-798735663,2745,0:25:53.800000
404303530,-798735663,2745,0:25:53.910000
404303530,-798735663,2745,0:25:54
404303529,-798735663,2745,0:25:54.110000
404303529,-798735663,2745,0:25:54.210000
404303529,-798735663,2745,0:25:54.300000
404303529,-798735663,2745,0:25:54.410000
404303530,-798735663,2745,0:25:54.500000
