lat,long,elev,timediff
404413479,-798361488,3054,0:03:30.580000
404413479,-798361488,3054,0:03:30.680000
404413479,-798361488,3054,0:03:30.780000
404413479,-798361488,3054,0:03:30.890000
404413479,-798361488,3054,0:03:30.990000
404413479,-798361488,3054,0:03:31.080000
404413479,-798361488,3054,0:03:31.190000
404413479,-798361488,3054,0:03:31.300000
404413479,-798361488,3054,0:03:31.390000
404413479,-798361488,3054,0:03:31.480000
404413479,-798361488,3054,0:03:31.590000
404413479,-798361488,3054,0:03:31.680000
404413479,-798361488,3054,0:03:31.780000
404413479,-798361488,3054,0:03:31.880000
404413479,-798361488,3054,0:03:31.980000
404413479,-798361487,3054,0:03:32.090000
404413479,-798361487,3054,0:03:32.190000
404413479,-798361487,3054,0:03:32.280000
404413479,-798361487,3054,0:03:32.380000
404413479,-798361487,3054,0:03:32.480000
404413479,-798361487,3054,0:03:32.580000
404413479,-798361487,3054,0:03:32.690000
404413479,-798361487,3054,0:03:32.780000
404413479,-798361487,3054,0:03:32.890000
404413479,-798361487,3054,0:03:32.980000
404413480,-798361487,3054,0:03:33.080000
404413480,-798361487,3054,0:03:33.110000
404413480,-798361487,3054,0:03:33.210000
404413480,-798361487,3054,0:03:33.340000
404413480,-798361487,3054,0:03:33.450000
404413480,-798361487,3054,0:03:33.520000
404413480,-798361487,3054,0:03:33.620000
404413480,-798361487,3054,0:03:33.720000
404413480,-798361487,3054,0:03:33.810000
404413480,-798361487,3054,0:03:33.930000
404413480,-798361487,3054,0:03:34.020000
404413480,-798361487,3054,0:03:34.110000
404413480,-798361487,3054,0:03:34.210000
404413480,-798361487,3054,0:03:34.320000
404413480,-798361487,3054,0:03:34.420000
404413480,-798361487,3054,0:03:34.510000
404413480,-798361487,3054,0:03:34.620000
404413480,-798361487,3054,0:03:34.810000
404413480,-798361487,3054,0:03:34.830000
404413480,-798361487,3054,0:03:35.080000
404413480,-798361487,3054,0:03:35.080000
404413480,-798361487,3054,0:03:35.210000
404413480,-798361487,3054,0:03:35.220000
404413480,-798361487,3054,0:03:35.480000
404413480,-798361487,3054,0:03:35.510000
404413480,-798361487,3054,0:03:35.610000
404413480,-798361487,3054,0:03:35.710000
404413480,-798361487,3054,0:03:35.810000
404413480,-798361487,3054,0:03:35.910000
404413480,-798361487,3054,0:03:36.010000
404413481,-798361487,3054,0:03:36.110000
404413481,-798361487,3054,0:03:36.210000
404413481,-798361487,3054,0:03:36.310000
404413481,-798361487,3054,0:03:36.410000
404413481,-798361487,3054,0:03:36.510000
404413481,-798361487,3054,0:03:36.610000
404413481,-798361487,3054,0:03:36.710000
404413481,-798361487,3054,0:03:36.810000
404413481,-798361487,3054,0:03:36.910000
404413481,-798361487,3054,0:03:36.920000
404413481,-798361487,3054,0:03:37.020000
404413481,-798361487,3054,0:03:37.110000
404413481,-798361487,3054,0:03:37.220000
404413481,-798361487,3054,0:03:37.320000
404413481,-798361487,3054,0:03:37.420000
404413481,-798361487,3054,0:03:37.530000
404413481,-798361487,3054,0:03:37.620000
404413481,-798361487,3054,0:03:37.720000
404413481,-798361487,3054,0:03:37.820000
404413481,-798361487,3054,0:03:37.920000
404413481,-798361487,3054,0:03:38.030000
404413481,-798361487,3054,0:03:38.120000
404413481,-798361487,3054,0:03:38.220000
404413481,-798361487,3054,0:03:38.320000
404413481,-798361487,3054,0:03:38.420000
404413481,-798361487,3054,0:03:38.520000
404413481,-798361487,3054,0:03:38.620000
404413481,-798361487,3054,0:03:38.720000
404413481,-798361487,3054,0:03:38.820000
404413481,-798361487,3054,0:03:38.920000
404413482,-798361488,3054,0:03:39.020000
404413482,-798361488,3054,0:03:39.120000
404413482,-798361488,3054,0:03:39.220000
404413482,-798361488,3054,0:03:39.320000
404413482,-798361488,3054,0:03:39.420000
404413482,-798361488,3054,0:03:39.520000
404413482,-798361488,3054,0:03:39.620000
404413482,-798361488,3054,0:03:39.720000
404413482,-798361488,3054,0:03:39.820000
404413482,-798361488,3054,0:03:39.920000
404413482,-798361488,3054,0:03:40.020000
404413482,-798361488,3054,0:03:40.120000
404413482,-798361488,3054,0:03:40.220000
404413482,-798361488,3054,0:03:40.320000
404413482,-798361488,3054,0:03:40.420000
404413482,-798361488,3054,0:03:40.520000
404413482,-798361488,3054,0:03:40.920000
404413482,-798361488,3054,0:03:40.930000
404413482,-798361488,3054,0:03:41.030000
404413482,-798361488,3054,0:03:41.090000
404413482,-798361489,3053,0:03:41.170000
404413482,-798361489,3053,0:03:41.270000
404413482,-798361489,3053,0:03:41.280000
404413482,-798361489,3053,0:03:41.350000
404413482,-798361489,3053,0:03:41.540000
404413482,-798361489,3053,0:03:41.800000
404413482,-798361489,3053,0:03:41.950000
404413482,-798361489,3053,0:03:42.150000
404413482,-798361489,3053,0:03:42.360000
404413482,-798361489,3053,0:03:42.560000
404413482,-798361489,3053,0:03:42.770000
404413482,-798361489,3053,0:03:42.970000
404413482,-798361489,3053,0:03:43.180000
404413482,-798361489,3053,0:03:43.180000
404413482,-798361489,3053,0:03:43.190000
404413482,-798361489,3053,0:03:43.280000
404413482,-798361489,3053,0:03:43.290000
404413482,-798361489,3053,0:03:43.290000
404413482,-798361489,3053,0:03:43.380000
404413482,-798361489,3053,0:03:43.500000
404413482,-798361489,3053,0:03:43.630000
404413482,-798361490,3053,0:03:43.630000
404413482,-798361490,3053,0:03:43.700000
404413482,-798361490,3053,0:03:43.790000
404413482,-798361490,3053,0:03:43.910000
404413482,-798361490,3053,0:03:44
404413482,-798361490,3053,0:03:44.110000
404413482,-798361490,3053,0:03:44.200000
404413482,-798361490,3053,0:03:44.320000
404413482,-798361490,3053,0:03:44.410000
404413482,-798361490,3053,0:03:44.580000
404413482,-798361490,3053,0:03:44.610000
404413482,-798361490,3053,0:03:44.730000
404413482,-798361490,3053,0:03:44.780000
404413482,-798361490,3053,0:03:44.790000
404413482,-798361490,3053,0:03:44.790000
404413482,-798361490,3053,0:03:44.800000
404413482,-798361490,3053,0:03:44.810000
404413482,-798361490,3053,0:03:44.810000
404413482,-798361490,3053,0:03:44.830000
404413482,-798361490,3053,0:03:44.930000
404413481,-798361490,3053,0:03:45.020000
404413481,-798361490,3053,0:03:45.120000
404413481,-798361490,3053,0:03:45.220000
404413481,-798361490,3053,0:03:45.320000
404413481,-798361490,3053,0:03:45.420000
404413481,-798361490,3053,0:03:45.520000
404413481,-798361490,3053,0:03:45.620000
404413481,-798361490,3053,0:03:45.720000
404413481,-798361490,3053,0:03:45.820000
404413481,-798361490,3053,0:03:45.920000
404413481,-798361491,3053,0:03:46.020000
404413481,-798361491,3053,0:03:46.120000
404413481,-798361491,3053,0:03:46.230000
404413481,-798361491,3053,0:03:46.320000
404413481,-798361491,3053,0:03:46.420000
404413481,-798361491,3053,0:03:46.520000
404413481,-798361491,3053,0:03:46.620000
404413481,-798361491,3053,0:03:46.720000
404413481,-798361491,3053,0:03:46.820000
404413481,-798361491,3053,0:03:46.920000
404413480,-798361491,3053,0:03:47.020000
404413480,-798361491,3053,0:03:47.120000
404413480,-798361491,3053,0:03:47.220000
404413480,-798361491,3053,0:03:47.320000
404413480,-798361491,3053,0:03:47.420000
404413480,-798361491,3053,0:03:47.520000
404413480,-798361491,3053,0:03:47.630000
404413480,-798361491,3053,0:03:47.720000
404413480,-798361491,3053,0:03:47.820000
404413480,-798361491,3053,0:03:47.910000
404413480,-798361491,3053,0:03:48.020000
404413480,-798361491,3053,0:03:48.120000
404413480,-798361491,3053,0:03:48.210000
404413480,-798361491,3053,0:03:48.330000
404413480,-798361491,3053,0:03:48.420000
404413480,-798361491,3053,0:03:48.510000
404413480,-798361491,3053,0:03:48.610000
404413480,-798361491,3053,0:03:48.710000
404413480,-798361491,3053,0:03:48.800000
404413480,-798361491,3053,0:03:48.910000
404413480,-798361490,3053,0:03:49.010000
404413480,-798361490,3053,0:03:49.110000
404413480,-798361490,3053,0:03:49.210000
404413480,-798361490,3053,0:03:49.300000
404413480,-798361490,3053,0:03:49.410000
404413480,-798361490,3053,0:03:49.510000
404413480,-798361490,3053,0:03:49.610000
404413480,-798361490,3053,0:03:49.710000
404413480,-798361490,3053,0:03:49.810000
404413480,-798361490,3053,0:03:49.910000
404413479,-798361490,3053,0:03:50.010000
404413479,-798361490,3053,0:03:50.110000
404413479,-798361490,3053,0:03:50.210000
404413479,-798361490,3053,0:03:50.310000
404413479,-798361490,3053,0:03:50.410000
404413479,-798361490,3053,0:03:50.510000
404413479,-798361490,3053,0:03:50.610000
404413479,-798361490,3053,0:03:50.710000
404413479,-798361490,3053,0:03:50.810000
404413479,-798361490,3053,0:03:50.910000
404413479,-798361490,3053,0:03:51.010000
404413479,-798361490,3053,0:03:51.110000
404413479,-798361490,3053,0:03:51.220000
404413478,-798361490,3053,0:03:51.310000
404413478,-798361490,3053,0:03:51.410000
404413478,-798361490,3053,0:03:51.510000
404413478,-798361490,3053,0:03:51.610000
404413478,-798361490,3053,0:03:51.710000
404413478,-798361490,3053,0:03:51.810000
404413478,-798361490,3053,0:03:51.910000
404413478,-798361490,3053,0:03:52.010000
404413478,-798361490,3053,0:03:52.110000
404413478,-798361490,3053,0:03:52.210000
404413478,-798361490,3053,0:03:52.310000
404413478,-798361490,3053,0:03:52.410000
404413478,-798361490,3053,0:03:52.520000
404413478,-798361490,3053,0:03:52.610000
404413478,-798361490,3053,0:03:52.710000
404413478,-798361490,3053,0:03:52.810000
404413478,-798361490,3053,0:03:52.910000
404413478,-798361490,3053,0:03:53.010000
404413478,-798361490,3053,0:03:53.110000
404413477,-798361490,3053,0:03:53.210000
404413477,-798361490,3053,0:03:53.310000
404413477,-798361490,3053,0:03:53.410000
404413477,-798361490,3053,0:03:53.510000
