lat,long,elev,timediff
399951384,-794458400,4604,1:25:14.090000
399951395,-794458412,4604,1:25:14.190000
399951410,-794458424,4604,1:25:14.300000
399951423,-794458435,4604,1:25:14.390000
399951441,-794458460,4605,1:25:14.490000
399951458,-794458475,4605,1:25:14.590000
399951470,-794458487,4605,1:25:14.690000
399951481,-794458498,4604,1:25:14.790000
399951493,-794458510,4605,1:25:14.890000
399951506,-794458522,4605,1:25:14.990000
399951519,-794458533,4605,1:25:15.090000
399951528,-794458543,4605,1:25:15.190000
399951540,-794458551,4605,1:25:15.290000
399951548,-794458562,4604,1:25:15.390000
399951565,-794458587,4605,1:25:15.490000
399951576,-794458597,4605,1:25:15.590000
399951585,-794458605,4606,1:25:15.690000
399951593,-794458615,4605,1:25:15.790000
399951606,-794458624,4606,1:25:15.890000
399951613,-794458634,4606,1:25:15.990000
399951624,-794458643,4606,1:25:16.090000
399951634,-794458647,4606,1:25:16.190000
399951644,-794458656,4606,1:25:16.290000
399951654,-794458664,4607,1:25:16.390000
399951670,-794458666,4607,1:25:16.490000
399951677,-794458674,4607,1:25:16.590000
399951684,-794458680,4607,1:25:16.690000
399951694,-794458683,4607,1:25:16.790000
399951701,-794458690,4607,1:25:16.890000
399951712,-794458696,4607,1:25:16.990000
399951726,-794458703,4608,1:25:17.090000
399951739,-794458707,4606,1:25:17.190000
399951753,-794458718,4607,1:25:17.300000
399951770,-794458721,4607,1:25:17.390000
399951790,-794458749,4608,1:25:17.490000
399951805,-794458759,4608,1:25:17.590000
399951820,-794458771,4608,1:25:17.690000
399951840,-794458782,4608,1:25:17.790000
399951858,-794458789,4608,1:25:17.890000
399951882,-794458787,4609,1:25:17.990000
399951898,-794458788,4608,1:25:18.090000
399951915,-794458785,4608,1:25:18.190000
399951931,-794458791,4608,1:25:18.290000
399951948,-794458796,4608,1:25:18.390000
399951970,-794458807,4608,1:25:18.490000
399951981,-794458812,4608,1:25:18.590000
399951994,-794458821,4608,1:25:18.690000
399952006,-794458825,4608,1:25:18.790000
399952021,-794458827,4608,1:25:18.890000
399952034,-794458826,4608,1:25:18.990000
399952049,-794458825,4608,1:25:19.100000
399952062,-794458824,4608,1:25:19.190000
399952076,-794458824,4608,1:25:19.290000
399952088,-794458821,4608,1:25:19.390000
399952116,-794458827,4608,1:25:19.490000
399952124,-794458828,4608,1:25:19.590000
399952135,-794458827,4608,1:25:19.690000
399952150,-794458817,4607,1:25:19.790000
399952165,-794458809,4607,1:25:19.890000
399952176,-794458802,4607,1:25:19.990000
399952190,-794458795,4607,1:25:20.090000
399952206,-794458788,4607,1:25:20.190000
399952222,-794458784,4608,1:25:20.290000
399952236,-794458773,4607,1:25:20.390000
399952257,-794458762,4608,1:25:20.490000
399952269,-794458746,4607,1:25:20.600000
399952289,-794458733,4607,1:25:20.690000
399952303,-794458713,4607,1:25:20.790000
399952319,-794458697,4607,1:25:20.890000
399952338,-794458680,4607,1:25:20.990000
399952355,-794458664,4607,1:25:21.100000
399952375,-794458646,4607,1:25:21.190000
399952392,-794458626,4607,1:25:21.290000
399952409,-794458602,4606,1:25:21.400000
399952423,-794458574,4606,1:25:21.490000
399952445,-794458537,4606,1:25:21.590000
399952460,-794458507,4606,1:25:21.690000
399952477,-794458478,4606,1:25:21.800000
399952494,-794458441,4606,1:25:21.890000
399952509,-794458408,4605,1:25:21.990000
399952527,-794458371,4605,1:25:22.090000
399952540,-794458332,4604,1:25:22.190000
399952559,-794458290,4604,1:25:22.290000
399952573,-794458248,4603,1:25:22.390000
399952589,-794458185,4603,1:25:22.490000
399952602,-794458134,4602,1:25:22.590000
399952616,-794458089,4601,1:25:22.690000
399952629,-794458032,4600,1:25:22.710000
399952640,-794457976,4599,1:25:22.790000
399952651,-794457922,4599,1:25:22.890000
399952664,-794457862,4599,1:25:23
399952678,-794457806,4598,1:25:23.110000
399952690,-794457740,4598,1:25:23.200000
399952706,-794457682,4597,1:25:23.300000
399952728,-794457606,4597,1:25:23.400000
399952737,-794457537,4597,1:25:23.500000
399952753,-794457472,4596,1:25:23.600000
399952768,-794457400,4595,1:25:23.700000
399952780,-794457328,4594,1:25:23.800000
399952789,-794457258,4593,1:25:23.900000
399952800,-794457182,4592,1:25:24
399952815,-794457106,4591,1:25:24.100000
399952831,-794457026,4590,1:25:24.200000
399952847,-794456955,4589,1:25:24.300000
399952863,-794456884,4588,1:25:24.400000
399952877,-794456798,4587,1:25:24.500000
399952897,-794456718,4586,1:25:24.600000
399952910,-794456635,4586,1:25:24.700000
399952925,-794456554,4585,1:25:24.800000
399952940,-794456467,4584,1:25:24.910000
399952956,-794456374,4583,1:25:25
399952975,-794456293,4582,1:25:25.100000
399952991,-794456207,4582,1:25:25.200000
399953010,-794456119,4581,1:25:25.300000
399953034,-794456030,4580,1:25:25.400000
399953049,-794455937,4579,1:25:25.500000
399953067,-794455844,4578,1:25:25.600000
399953084,-794455754,4577,1:25:25.700000
399953104,-794455657,4575,1:25:25.800000
399953124,-794455565,4574,1:25:25.900000
399953139,-794455471,4574,1:25:26
