lat,long,elev,timediff
399955680,-794415308,4255,0:05:50.760000
399955677,-794414562,4249,0:05:51.270000
399955688,-794414418,4248,0:05:51.360000
399955689,-794409961,4202,0:05:54.370000
399955699,-794409189,4196,0:05:54.880000
399955701,-794408884,4193,0:05:55.080000
399955702,-794408734,4191,0:05:55.160000
399955706,-794408580,4191,0:05:55.260000
399955706,-794408580,4191,0:05:55.370000
399955712,-794408268,4189,0:05:55.460000
399955718,-794408109,4188,0:05:55.570000
399955724,-794407965,4186,0:05:55.670000
399955724,-794407965,4186,0:05:55.770000
399955724,-794407802,4185,0:05:55.860000
399955729,-794407648,4184,0:05:55.960000
399955735,-794407492,4183,0:05:56.060000
399955740,-794407335,4182,0:05:56.160000
399955738,-794407182,4179,0:05:56.270000
399955735,-794407020,4178,0:05:56.350000
399955740,-794406866,4177,0:05:56.470000
399955745,-794406706,4175,0:05:56.560000
399955747,-794406549,4174,0:05:56.670000
399955755,-794406398,4173,0:05:56.750000
399955754,-794406240,4171,0:05:56.860000
399955756,-794406078,4171,0:05:56.960000
399955760,-794405921,4169,0:05:57.070000
399955765,-794405761,4167,0:05:57.160000
399955766,-794405603,4165,0:05:57.270000
399955772,-794405447,4164,0:05:57.360000
399955778,-794405290,4162,0:05:57.460000
399955781,-794405131,4162,0:05:57.560000
399955783,-794404970,4161,0:05:57.660000
399955791,-794404810,4158,0:05:57.770000
399955797,-794404656,4157,0:05:57.870000
399955800,-794404491,4156,0:05:57.970000
399955804,-794404335,4154,0:05:58.070000
399955812,-794404177,4153,0:05:58.170000
399955815,-794404016,4151,0:05:58.260000
399955821,-794403855,4150,0:05:58.360000
399955828,-794403702,4148,0:05:58.460000
399955833,-794403543,4147,0:05:58.560000
399955838,-794403381,4146,0:05:58.660000
399955848,-794403225,4144,0:05:58.760000
399955853,-794403061,4143,0:05:58.850000
399955860,-794402909,4142,0:05:58.950000
399955870,-794402749,4139,0:05:59.050000
399955876,-794402587,4138,0:05:59.160000
399955883,-794402432,4136,0:05:59.260000
399955890,-794402275,4135,0:05:59.350000
399955898,-794402120,4133,0:05:59.450000
399955897,-794401966,4132,0:05:59.560000
399955907,-794401805,4130,0:05:59.650000
399955914,-794401654,4128,0:05:59.760000
399955915,-794401496,4128,0:05:59.860000
399955920,-794401339,4126,0:05:59.950000
399955922,-794401186,4125,0:06:00.060000
399955930,-794401030,4123,0:06:00.170000
399955934,-794400878,4121,0:06:00.250000
399955941,-794400722,4119,0:06:00.350000
399955945,-794400573,4118,0:06:00.450000
399955949,-794400418,4115,0:06:00.560000
399955952,-794400265,4114,0:06:00.660000
399955957,-794400121,4111,0:06:00.750000
399955959,-794399968,4109,0:06:00.860000
399955963,-794399817,4108,0:06:00.960000
399955965,-794399663,4106,0:06:01.060000
399955970,-794399511,4104,0:06:01.160000
399955971,-794399359,4103,0:06:01.260000
399955973,-794399207,4100,0:06:01.360000
399955975,-794399055,4098,0:06:01.460000
399955976,-794398904,4096,0:06:01.560000
399955976,-794398752,4095,0:06:01.660000
399955973,-794398602,4093,0:06:01.770000
399955973,-794398451,4091,0:06:01.860000
399955970,-794398299,4089,0:06:01.970000
399955970,-794398147,4087,0:06:02.050000
399955967,-794398000,4086,0:06:02.160000
399955964,-794397847,4084,0:06:02.250000
399955960,-794397695,4082,0:06:02.360000
399955954,-794397543,4081,0:06:02.380000
399955953,-794397397,4079,0:06:02.560000
399955949,-794397245,4077,0:06:02.660000
399955942,-794397095,4076,0:06:02.760000
399955937,-794396944,4075,0:06:02.870000
399955928,-794396791,4073,0:06:02.970000
399955925,-794396639,4071,0:06:03.050000
399955922,-794396489,4069,0:06:03.070000
399955915,-794396341,4067,0:06:03.260000
399955906,-794396191,4066,0:06:03.270000
399955899,-794396037,4064,0:06:03.360000
399955888,-794395885,4062,0:06:03.460000
399955881,-794395735,4060,0:06:03.570000
399955872,-794395576,4057,0:06:03.660000
399955859,-794395423,4055,0:06:03.760000
399955853,-794395275,4053,0:06:03.850000
399955845,-794395122,4051,0:06:03.970000
399955837,-794394976,4048,0:06:04.060000
399955827,-794394824,4046,0:06:04.160000
399955816,-794394675,4044,0:06:04.260000
399955803,-794394520,4043,0:06:04.360000
399955790,-794394370,4040,0:06:04.460000
399955779,-794394217,4039,0:06:04.560000
399955768,-794394061,4036,0:06:04.660000
399955753,-794393907,4034,0:06:04.760000
399955742,-794393760,4032,0:06:04.860000
399955730,-794393610,4030,0:06:04.960000
399955718,-794393459,4028,0:06:05.060000
