lat,long,elev,timediff
408649667,-778304677,3401,0:11:28.920000
408649674,-778304670,3401,0:11:29.020000
408649674,-778304670,3401,0:11:29.140000
408649674,-778304670,3401,0:11:29.220000
408649674,-778304670,3401,0:11:29.310000
408649674,-778304670,3401,0:11:29.410000
408649674,-778304670,3401,0:11:29.510000
408649674,-778304670,3401,0:11:29.610000
408649674,-778304670,3401,0:11:29.710000
408649674,-778304670,3401,0:11:29.810000
408649674,-778304670,3401,0:11:29.960000
408649678,-778304680,3399,0:11:30.010000
408649678,-778304680,3399,0:11:30.110000
408649678,-778304680,3399,0:11:30.220000
408649678,-778304680,3399,0:11:30.310000
408649678,-778304680,3399,0:11:30.410000
408649678,-778304680,3399,0:11:30.510000
408649678,-778304680,3399,0:11:30.610000
408649678,-778304680,3399,0:11:30.710000
408649678,-778304680,3399,0:11:30.810000
408649678,-778304680,3399,0:11:30.910000
408649678,-778304680,3399,0:11:31.010000
408649678,-778304680,3399,0:11:31.110000
408649678,-778304680,3399,0:11:31.210000
408649678,-778304681,3399,0:11:31.340000
408649678,-778304681,3399,0:11:31.420000
408649678,-778304681,3399,0:11:31.520000
408649678,-778304681,3399,0:11:31.610000
408649678,-778304681,3399,0:11:31.710000
408649678,-778304681,3399,0:11:31.820000
408649678,-778304681,3399,0:11:31.910000
408649679,-778304681,3399,0:11:32.010000
408649679,-778304681,3399,0:11:32.130000
408649679,-778304681,3399,0:11:32.210000
408649679,-778304681,3399,0:11:32.310000
408649679,-778304681,3399,0:11:32.420000
408649679,-778304681,3399,0:11:32.510000
408649679,-778304681,3399,0:11:32.610000
408649679,-778304681,3399,0:11:32.710000
408649679,-778304681,3399,0:11:32.830000
408649679,-778304681,3399,0:11:32.920000
408649679,-778304681,3398,0:11:33.010000
408649679,-778304681,3398,0:11:33.110000
408649679,-778304681,3398,0:11:33.210000
408649679,-778304681,3398,0:11:33.310000
408649679,-778304681,3398,0:11:33.440000
408649679,-778304681,3398,0:11:33.510000
408649679,-778304681,3398,0:11:33.580000
408649679,-778304681,3398,0:11:33.670000
408649679,-778304681,3398,0:11:33.780000
408649679,-778304681,3398,0:11:33.870000
408649679,-778304681,3399,0:11:33.970000
408649679,-778304681,3399,0:11:34.080000
408649679,-778304681,3399,0:11:34.170000
408649679,-778304681,3399,0:11:34.280000
408649679,-778304681,3399,0:11:34.370000
408649679,-778304681,3399,0:11:34.470000
408649679,-778304681,3399,0:11:34.590000
408649679,-778304681,3399,0:11:34.670000
408649679,-778304681,3399,0:11:34.770000
408649679,-778304681,3399,0:11:34.880000
408649838,-778304663,3399,0:11:34.980000
408649876,-778304663,3399,0:11:35.070000
408649913,-778304666,3399,0:11:35.170000
408649944,-778304667,3399,0:11:35.270000
408649979,-778304669,3400,0:11:35.370000
408650015,-778304673,3400,0:11:35.470000
408650044,-778304673,3400,0:11:35.580000
408650079,-778304677,3400,0:11:35.680000
408650114,-778304681,3400,0:11:35.770000
408650146,-778304681,3400,0:11:35.870000
408650180,-778304668,3401,0:11:35.980000
408650220,-778304674,3401,0:11:36.080000
408650256,-778304677,3400,0:11:36.180000
