lat,long,elev,timediff
408649339,-778304409,3365,0:03:39.790000
408649339,-778304409,3365,0:03:39.880000
408649339,-778304409,3365,0:03:39.980000
408649339,-778304409,3365,0:03:40.090000
408649339,-778304409,3365,0:03:40.190000
408649339,-778304409,3365,0:03:40.290000
408649339,-778304409,3365,0:03:40.410000
408649339,-778304409,3365,0:03:40.500000
408649339,-778304409,3365,0:03:40.590000
408649339,-778304409,3365,0:03:40.680000
408649339,-778304409,3365,0:03:40.790000
408649339,-778304409,3365,0:03:40.880000
408649339,-778304409,3365,0:03:40.990000
408649339,-778304409,3365,0:03:41.090000
408649339,-778304409,3365,0:03:41.190000
408649339,-778304409,3365,0:03:41.280000
408649339,-778304409,3365,0:03:41.390000
408649339,-778304409,3365,0:03:41.490000
408649339,-778304409,3365,0:03:41.580000
408649339,-778304409,3365,0:03:41.710000
408649339,-778304409,3365,0:03:41.790000
408649339,-778304409,3365,0:03:41.890000
408649339,-778304409,3365,0:03:41.980000
408649339,-778304409,3365,0:03:42.090000
408649339,-778304409,3365,0:03:42.180000
408649339,-778304409,3365,0:03:42.310000
408649339,-778304409,3365,0:03:42.390000
408649339,-778304409,3365,0:03:42.490000
408649339,-778304409,3365,0:03:42.590000
408649339,-778304409,3365,0:03:42.690000
408649339,-778304409,3365,0:03:42.790000
408649339,-778304409,3365,0:03:42.890000
408649339,-778304409,3365,0:03:43
408649376,-778304400,3366,0:03:43.090000
408649382,-778304399,3367,0:03:43.190000
408649390,-778304399,3366,0:03:43.280000
408649400,-778304397,3367,0:03:43.390000
408649410,-778304398,3366,0:03:43.480000
408649421,-778304397,3367,0:03:43.590000
408649433,-778304395,3367,0:03:43.690000
408649448,-778304395,3366,0:03:43.780000
408649464,-778304397,3366,0:03:43.890000
408649479,-778304393,3366,0:03:43.920000
408649499,-778304379,3367,0:03:44.020000
408649518,-778304378,3367,0:03:44.120000
408649538,-778304376,3367,0:03:44.220000
408649558,-778304376,3367,0:03:44.320000
408649583,-778304377,3367,0:03:44.420000
408649604,-778304381,3367,0:03:44.520000
408649630,-778304384,3367,0:03:44.620000
408649653,-778304384,3367,0:03:44.720000
408649678,-778304386,3367,0:03:44.830000
408649703,-778304385,3367,0:03:44.920000
408649710,-778304352,3367,0:03:45.030000
408649739,-778304351,3367,0:03:45.130000
408649766,-778304357,3367,0:03:45.220000
408649792,-778304357,3367,0:03:45.360000
408649820,-778304361,3367,0:03:45.430000
408649846,-778304365,3367,0:03:45.620000
408649874,-778304369,3367,0:03:45.720000
408649904,-778304370,3367,0:03:45.820000
408649934,-778304375,3367,0:03:45.840000
408649964,-778304379,3367,0:03:45.920000
408649983,-778304377,3367,0:03:46.030000
408650017,-778304383,3366,0:03:46.120000
408650046,-778304387,3366,0:03:46.230000
408650080,-778304391,3367,0:03:46.330000
408650110,-778304395,3367,0:03:46.430000
408650143,-778304400,3366,0:03:46.520000
408650174,-778304406,3367,0:03:46.630000
408650209,-778304412,3366,0:03:46.740000
408650243,-778304418,3367,0:03:46.830000
408650278,-778304424,3366,0:03:46.930000
408650314,-778304413,3369,0:03:47.030000
408650348,-778304418,3369,0:03:47.130000
408650385,-778304424,3368,0:03:47.330000
408650422,-778304429,3368,0:03:47.340000
408650460,-778304435,3368,0:03:47.530000
408650498,-778304439,3369,0:03:47.630000
408650539,-778304446,3369,0:03:47.730000
408650583,-778304452,3369,0:03:47.740000
408650624,-778304458,3369,0:03:47.830000
408650669,-778304464,3369,0:03:47.930000
408650710,-778304490,3370,0:03:48.030000
408650760,-778304497,3370,0:03:48.130000
408650807,-778304504,3370,0:03:48.230000
408650857,-778304513,3370,0:03:48.340000
408650907,-778304520,3370,0:03:48.430000
408650959,-778304529,3370,0:03:48.530000
408651011,-778304540,3370,0:03:48.650000
408651065,-778304551,3370,0:03:48.730000
408651118,-778304561,3370,0:03:48.830000
408651173,-778304570,3370,0:03:48.930000
408651227,-778304568,3371,0:03:49.030000
408651287,-778304583,3371,0:03:49.130000
408651343,-778304596,3372,0:03:49.230000
408651396,-778304606,3372,0:03:49.330000
408651453,-778304621,3371,0:03:49.440000
408651508,-778304635,3372,0:03:49.530000
408651563,-778304649,3372,0:03:49.630000
408651620,-778304664,3372,0:03:49.730000
408651677,-778304679,3372,0:03:49.830000
408651734,-778304694,3372,0:03:49.930000
408651796,-778304710,3374,0:03:50.030000
408651856,-778304728,3373,0:03:50.130000
408651911,-778304745,3374,0:03:50.230000
408651968,-778304761,3373,0:03:50.330000
408652026,-778304779,3374,0:03:50.430000
408652083,-778304797,3374,0:03:50.560000
408652143,-778304816,3374,0:03:50.630000
408652202,-778304836,3374,0:03:50.740000
408652263,-778304857,3374,0:03:50.860000
408652321,-778304877,3374,0:03:50.930000
408652384,-778304901,3376,0:03:51.030000
408652447,-778304924,3376,0:03:51.130000
408652505,-778304946,3376,0:03:51.230000
408652567,-778304969,3376,0:03:51.340000
408652629,-778304992,3376,0:03:51.450000
408652694,-778305016,3376,0:03:51.530000
408652755,-778305039,3376,0:03:51.660000
408652818,-778305063,3376,0:03:51.730000
408652881,-778305088,3376,0:03:51.830000
408652943,-778305114,3376,0:03:51.930000
408653012,-778305139,3378,0:03:52.050000
408653076,-778305167,3379,0:03:52.130000
408653139,-778305195,3378,0:03:52.240000
408653202,-778305224,3378,0:03:52.330000
408653264,-778305252,3379,0:03:52.430000
408653327,-778305282,3378,0:03:52.530000
408653390,-778305314,3379,0:03:52.630000
408653452,-778305344,3379,0:03:52.730000
408653514,-778305375,3379,0:03:52.890000
408653579,-778305410,3379,0:03:52.930000
408653648,-778305444,3380,0:03:53.070000
408653709,-778305483,3380,0:03:53.130000
408653771,-778305519,3381,0:03:53.230000
408653834,-778305558,3381,0:03:53.330000
408653897,-778305595,3381,0:03:53.430000
408653960,-778305634,3381,0:03:53.530000
408654021,-778305676,3382,0:03:53.630000
408654084,-778305718,3381,0:03:53.730000
408654147,-778305759,3381,0:03:53.830000
408654209,-778305804,3382,0:03:53.930000
408654268,-778305844,3383,0:03:54.030000
408654331,-778305894,3383,0:03:54.130000
408654393,-778305940,3383,0:03:54.230000
408654457,-778305989,3383,0:03:54.330000
408654519,-778306037,3383,0:03:54.430000
408654581,-778306089,3383,0:03:54.530000
408654645,-778306140,3384,0:03:54.630000
408654709,-778306191,3384,0:03:54.730000
408654772,-778306244,3384,0:03:54.830000
408654834,-778306298,3384,0:03:54.930000
408654834,-778306298,3384,0:03:55.040000
408654956,-778306405,3385,0:03:55.130000
408655017,-778306458,3385,0:03:55.170000
408655080,-778306515,3385,0:03:55.270000
408655142,-778306571,3385,0:03:55.440000
408655142,-778306571,3385,0:03:55.470000
408655266,-778306687,3385,0:03:55.630000
408655327,-778306746,3385,0:03:55.670000
408655327,-778306746,3385,0:03:56
408655388,-778306807,3385,0:03:56.010000
408655448,-778306865,3385,0:03:56.020000
408655506,-778306934,3386,0:03:56.200000
408655566,-778306998,3387,0:03:56.210000
408655626,-778307062,3387,0:03:56.380000
408655686,-778307126,3386,0:03:56.380000
408655806,-778307256,3387,0:03:56.480000
408655806,-778307256,3387,0:03:56.570000
408655865,-778307324,3387,0:03:56.670000
408655923,-778307391,3388,0:03:56.770000
408655983,-778307462,3387,0:03:56.870000
408656042,-778307531,3388,0:03:56.970000
408656101,-778307595,3388,0:03:57.070000
408656161,-778307669,3388,0:03:57.180000
408656218,-778307743,3388,0:03:57.270000
408656276,-778307819,3388,0:03:57.370000
408656335,-778307895,3388,0:03:57.470000
408656391,-778307972,3388,0:03:57.570000
408656449,-778308052,3388,0:03:57.680000
408656503,-778308134,3389,0:03:57.770000
408656559,-778308214,3389,0:03:57.870000
408656614,-778308297,3389,0:03:57.970000
408656672,-778308375,3390,0:03:58.070000
408656724,-778308464,3390,0:03:58.170000
408656778,-778308549,3390,0:03:58.270000
408656830,-778308636,3390,0:03:58.370000
408656882,-778308725,3390,0:03:58.520000
408656934,-778308814,3390,0:03:58.570000
408656985,-778308904,3390,0:03:58.710000
408657035,-778308995,3390,0:03:58.900000
408657084,-778309087,3390,0:03:58.900000
408657132,-778309180,3390,0:03:59.080000
408657181,-778309270,3390,0:03:59.080000
408657228,-778309368,3390,0:03:59.170000
408657275,-778309464,3390,0:03:59.270000
408657322,-778309560,3390,0:03:59.370000
408657367,-778309657,3390,0:03:59.470000
408657412,-778309754,3390,0:03:59.570000
408657457,-778309853,3390,0:03:59.670000
408657500,-778309951,3390,0:03:59.770000
408657543,-778310050,3391,0:03:59.880000
408657586,-778310149,3391,0:03:59.970000
408657634,-778310245,3391,0:04:00.070000
408657674,-778310348,3391,0:04:00.170000
408657716,-778310451,3392,0:04:00.270000
408657758,-778310552,3392,0:04:00.370000
408657798,-778310654,3392,0:04:00.470000
408657837,-778310757,3391,0:04:00.570000
408657875,-778310862,3392,0:04:00.670000
408657915,-778310966,3392,0:04:00.770000
408657952,-778311070,3392,0:04:00.870000
408657990,-778311176,3392,0:04:00.970000
408658030,-778311294,3392,0:04:01.080000
408658062,-778311403,3393,0:04:01.170000
408658097,-778311510,3393,0:04:01.270000
408658133,-778311618,3393,0:04:01.370000
408658167,-778311727,3393,0:04:01.470000
408658199,-778311837,3393,0:04:01.570000
408658232,-778311949,3393,0:04:01.670000
408658262,-778312061,3394,0:04:01.770000
408658294,-778312174,3394,0:04:01.870000
408658323,-778312289,3394,0:04:01.980000
408658353,-778312403,3394,0:04:02.070000
408658380,-778312521,3394,0:04:02.170000
408658408,-778312638,3394,0:04:02.270000
408658435,-778312756,3394,0:04:02.370000
408658460,-778312876,3394,0:04:02.470000
408658486,-778312995,3394,0:04:02.570000
