lat,long,elev,timediff,OBUID
408636815,-778374314,3332,35:32.5,2a3c600a
408636039,-778374367,3331,35:33.1,2a3c600a
408633550,-778374220,3329,35:35.0,2a3c600a
408633289,-778374176,3329,35:35.3,2a3c600a
408633029,-778374131,3328,35:35.3,2a3c600a
408632519,-778374017,3328,35:35.8,2a3c600a
408632140,-778373916,3327,35:36.1,2a3c600a
408632012,-778373871,3327,35:36.2,2a3c600a
408631889,-778373835,3327,35:36.3,2a3c600a
408631765,-778373795,3327,35:36.4,2a3c600a
408631638,-778373750,3327,35:36.5,2a3c600a
408631512,-778373708,3327,35:36.6,2a3c600a
408631387,-778373662,3327,35:36.6,2a3c600a
408631264,-778373617,3326,35:36.7,2a3c600a
408631017,-778373522,3326,35:37.0,2a3c600a
408630888,-778373480,3326,35:37.1,2a3c600a
408630521,-778373311,3325,35:37.3,2a3c600a
408630399,-778373252,3325,35:37.4,2a3c600a
408630276,-778373189,3325,35:37.5,2a3c600a
408630155,-778373128,3325,35:37.6,2a3c600a
408630031,-778373064,3325,35:37.7,2a3c600a
408629912,-778372999,3325,35:37.8,2a3c600a
408629790,-778372934,3325,35:37.9,2a3c600a
408629667,-778372872,3324,35:38.0,2a3c600a
408629545,-778372797,3325,35:38.1,2a3c600a
408629427,-778372730,3324,35:38.2,2a3c600a
408629305,-778372658,3324,35:38.3,2a3c600a
408629187,-778372587,3324,35:38.4,2a3c600a
408628949,-778372436,3323,35:38.7,2a3c600a
408628831,-778372360,3323,35:38.7,2a3c600a
408628715,-778372281,3323,35:38.8,2a3c600a
408628130,-778371871,3323,35:39.3,2a3c600a
408628016,-778371783,3322,35:39.4,2a3c600a
408627785,-778371605,3322,35:39.8,2a3c600a
408626787,-778370730,3322,35:40.7,2a3c600a
408626678,-778370628,3322,35:40.7,2a3c600a
408626467,-778370420,3322,35:41.0,2a3c600a
408626248,-778370209,3323,35:41.1,2a3c600a
408626147,-778370098,3322,35:41.2,2a3c600a
408625939,-778369879,3322,35:41.4,2a3c600a
408625835,-778369767,3322,35:41.5,2a3c600a
408625734,-778369654,3322,35:41.6,2a3c600a
408625635,-778369541,3322,35:41.7,2a3c600a
408625534,-778369427,3323,35:41.8,2a3c600a
408625434,-778369310,3323,35:41.9,2a3c600a
408625335,-778369197,3323,35:42.0,2a3c600a
408625233,-778369085,3323,35:42.1,2a3c600a
408625139,-778368963,3323,35:42.2,2a3c600a
408625043,-778368840,3323,35:42.3,2a3c600a
408624949,-778368722,3323,35:42.4,2a3c600a
408624857,-778368599,3323,35:42.5,2a3c600a
408624764,-778368476,3324,35:42.6,2a3c600a
408624675,-778368353,3324,35:42.7,2a3c600a
408624584,-778368229,3324,35:42.8,2a3c600a
408624496,-778368103,3324,35:42.9,2a3c600a
408624410,-778367975,3324,35:43.0,2a3c600a
408624317,-778367852,3324,35:43.1,2a3c600a
408624237,-778367722,3324,35:43.2,2a3c600a
408624153,-778367596,3324,35:43.3,2a3c600a
408624071,-778367466,3324,35:43.4,2a3c600a
408623989,-778367336,3324,35:43.5,2a3c600a
408623907,-778367204,3324,35:43.6,2a3c600a
408623829,-778367073,3324,35:43.7,2a3c600a
408623750,-778366940,3324,35:43.8,2a3c600a
408623674,-778366807,3324,35:43.9,2a3c600a
408623597,-778366674,3324,35:44.0,2a3c600a
408623517,-778366545,3324,35:44.1,2a3c600a
408623444,-778366410,3324,35:44.2,2a3c600a
408623372,-778366278,3323,35:44.3,2a3c600a
408623298,-778366141,3324,35:44.4,2a3c600a
408623228,-778366006,3324,35:44.5,2a3c600a
408623159,-778365871,3324,35:44.6,2a3c600a
408623089,-778365736,3324,35:44.7,2a3c600a
408623018,-778365600,3324,35:44.8,2a3c600a
408622951,-778365464,3324,35:44.9,2a3c600a
408622883,-778365327,3325,35:45.0,2a3c600a
408622811,-778365197,3324,35:45.1,2a3c600a
408622747,-778365056,3324,35:45.2,2a3c600a
408622683,-778364920,3325,35:45.3,2a3c600a
408622619,-778364779,3325,35:45.4,2a3c600a
408622555,-778364639,3325,35:45.5,2a3c600a
408622493,-778364498,3325,35:45.6,2a3c600a
408622431,-778364356,3325,35:45.7,2a3c600a
408622370,-778364214,3325,35:45.8,2a3c600a
408622311,-778364073,3325,35:45.9,2a3c600a
408622253,-778363927,3325,35:46.0,2a3c600a
408622193,-778363789,3325,35:46.1,2a3c600a
408622138,-778363640,3325,35:46.2,2a3c600a
408622086,-778363499,3325,35:46.3,2a3c600a
408622028,-778363354,3326,35:46.4,2a3c600a
408621972,-778363207,3326,35:46.5,2a3c600a
408621922,-778363062,3325,35:46.6,2a3c600a
408621870,-778362914,3325,35:46.7,2a3c600a
408621820,-778362767,3325,35:46.8,2a3c600a
408621770,-778362619,3325,35:46.9,2a3c600a
408621720,-778362470,3325,35:47.0,2a3c600a
408621667,-778362321,3326,35:47.0,2a3c600a
408621623,-778362170,3326,35:47.1,2a3c600a
408621575,-778362022,3326,35:47.2,2a3c600a
408621531,-778361870,3326,35:47.3,2a3c600a
408621488,-778361718,3326,35:47.4,2a3c600a
408621445,-778361568,3326,35:47.5,2a3c600a
408621405,-778361415,3326,35:47.6,2a3c600a
408621365,-778361263,3326,35:47.7,2a3c600a
408621326,-778361110,3326,35:47.8,2a3c600a
408621289,-778360953,3326,35:47.9,2a3c600a
408621248,-778360800,3327,35:48.0,2a3c600a
408621217,-778360643,3326,35:48.1,2a3c600a
408621181,-778360489,3327,35:48.2,2a3c600a
408621151,-778360337,3327,35:48.3,2a3c600a
408621119,-778360182,3327,35:48.4,2a3c600a
408621086,-778360026,3326,35:48.5,2a3c600a
408621055,-778359869,3327,35:48.6,2a3c600a
408621030,-778359714,3327,35:48.7,2a3c600a
408621000,-778359558,3327,35:48.8,2a3c600a
408620971,-778359399,3327,35:48.9,2a3c600a
408620941,-778359246,3327,35:49.0,2a3c600a
408620921,-778359086,3326,35:49.1,2a3c600a
408620896,-778358928,3327,35:49.2,2a3c600a
408620873,-778358772,3327,35:49.3,2a3c600a
408620852,-778358613,3326,35:49.4,2a3c600a
408620832,-778358455,3326,35:49.6,2a3c600a
408620812,-778358295,3327,35:49.8,2a3c600a
408620791,-778358136,3327,35:49.9,2a3c600a
408620776,-778357978,3326,35:50.0,2a3c600a
408620757,-778357820,3326,35:50.1,2a3c600a
408620738,-778357655,3327,35:50.2,2a3c600a
408620729,-778357495,3326,35:50.4,2a3c600a
408620715,-778357335,3327,35:50.4,2a3c600a
408620706,-778357173,3326,35:50.4,2a3c600a
408620694,-778357013,3326,35:50.5,2a3c600a
408620686,-778356854,3326,35:50.6,2a3c600a
408620678,-778356692,3326,35:50.7,2a3c600a
408620670,-778356532,3326,35:50.8,2a3c600a
408620664,-778356367,3327,35:50.9,2a3c600a
408620661,-778356206,3327,35:51.0,2a3c600a
408620652,-778356041,3327,35:51.1,2a3c600a
408620652,-778355878,3327,35:51.2,2a3c600a
408620653,-778355718,3326,35:51.4,2a3c600a
408620653,-778355555,3327,35:51.4,2a3c600a
408620656,-778355396,3326,35:51.5,2a3c600a
408620659,-778355232,3326,35:51.6,2a3c600a
408620660,-778355071,3327,35:51.7,2a3c600a
408620666,-778354913,3326,35:51.8,2a3c600a
408620672,-778354749,3326,35:51.9,2a3c600a
408620679,-778354587,3327,35:52.0,2a3c600a
408620681,-778354433,3326,35:52.0,2a3c600a
408620694,-778354272,3326,35:52.1,2a3c600a
408620704,-778354112,3326,35:52.2,2a3c600a
408620714,-778353954,3326,35:52.3,2a3c600a
408620728,-778353793,3326,35:52.4,2a3c600a
408620740,-778353635,3326,35:52.5,2a3c600a
408620755,-778353478,3326,35:52.6,2a3c600a
408620771,-778353323,3326,35:52.7,2a3c600a
408620790,-778353164,3326,35:52.8,2a3c600a
408620809,-778353006,3326,35:52.9,2a3c600a
408620820,-778352850,3326,35:53.0,2a3c600a
408620848,-778352693,3327,35:53.1,2a3c600a
408620869,-778352539,3326,35:53.2,2a3c600a
408620892,-778352385,3326,35:53.3,2a3c600a
408620916,-778352234,3326,35:53.4,2a3c600a
408620942,-778352080,3326,35:53.5,2a3c600a
408620969,-778351927,3326,35:53.6,2a3c600a
408620994,-778351780,3326,35:53.7,2a3c600a
408621022,-778351628,3325,35:53.8,2a3c600a
408621054,-778351476,3325,35:53.9,2a3c600a
408621075,-778351326,3326,35:54.0,2a3c600a
408621112,-778351178,3326,35:54.1,2a3c600a
408621148,-778351031,3325,35:54.2,2a3c600a
408621178,-778350883,3325,35:54.3,2a3c600a
408621216,-778350740,3325,35:54.4,2a3c600a
408621249,-778350593,3325,35:54.5,2a3c600a
408621286,-778350450,3325,35:54.7,2a3c600a
408621324,-778350305,3325,35:54.7,2a3c600a
408621364,-778350164,3325,35:54.8,2a3c600a
408621405,-778350020,3325,35:54.9,2a3c600a
408621443,-778349876,3324,35:55.0,2a3c600a
408621493,-778349740,3324,35:55.1,2a3c600a
408621534,-778349599,3324,35:55.2,2a3c600a
408621581,-778349461,3324,35:55.3,2a3c600a
408621627,-778349324,3325,35:55.4,2a3c600a
408621673,-778349184,3324,35:55.5,2a3c600a
408621719,-778349046,3324,35:55.6,2a3c600a
408621774,-778348912,3324,35:55.7,2a3c600a
408621822,-778348772,3324,35:55.8,2a3c600a
408621873,-778348636,3324,35:55.9,2a3c600a
408621920,-778348494,3324,35:56.0,2a3c600a
408621973,-778348360,3324,35:56.1,2a3c600a
408622025,-778348228,3323,35:56.2,2a3c600a
408622077,-778348090,3323,35:56.3,2a3c600a
408622130,-778347953,3323,35:56.4,2a3c600a
408622189,-778347822,3323,35:56.5,2a3c600a
408622244,-778347684,3323,35:56.6,2a3c600a
408622302,-778347551,3323,35:56.7,2a3c600a
408622362,-778347415,3323,35:56.8,2a3c600a
408622419,-778347283,3322,35:56.9,2a3c600a
408622475,-778347152,3323,35:57.0,2a3c600a
408622540,-778347024,3323,35:57.1,2a3c600a
408622604,-778346895,3323,35:57.2,2a3c600a
408622668,-778346765,3323,35:57.3,2a3c600a
408622735,-778346639,3323,35:57.4,2a3c600a
408622801,-778346511,3323,35:57.5,2a3c600a
408622868,-778346386,3323,35:57.6,2a3c600a
408622933,-778346260,3324,35:57.7,2a3c600a
408622998,-778346135,3324,35:57.8,2a3c600a
408623068,-778346010,3324,35:57.9,2a3c600a
408623131,-778345880,3324,35:58.0,2a3c600a
408623203,-778345759,3324,35:58.1,2a3c600a
408623273,-778345637,3325,35:58.2,2a3c600a
408623341,-778345516,3324,35:58.3,2a3c600a
408623413,-778345394,3324,35:58.4,2a3c600a
408623481,-778345276,3324,35:58.5,2a3c600a
408623553,-778345152,3324,35:58.6,2a3c600a
408623622,-778345032,3324,35:58.7,2a3c600a
408623689,-778344910,3324,35:58.8,2a3c600a
408623761,-778344788,3324,35:58.9,2a3c600a
408623761,-778344788,3324,35:59.0,2a3c600a
408623831,-778344659,3324,35:59.1,2a3c600a
408623904,-778344542,3325,35:59.2,2a3c600a
408623974,-778344418,3325,35:59.3,2a3c600a
408624043,-778344298,3325,35:59.4,2a3c600a
408624114,-778344176,3325,35:59.5,2a3c600a
408624253,-778343930,3325,35:59.6,2a3c600a
408624322,-778343807,3325,35:59.7,2a3c600a
408624322,-778343807,3325,35:59.8,2a3c600a
408624465,-778343563,3325,35:59.9,2a3c600a
408624465,-778343563,3325,36:00.0,2a3c600a
408624535,-778343439,3325,36:00.1,2a3c600a
408624606,-778343319,3325,36:00.2,2a3c600a
408624675,-778343197,3325,36:00.3,2a3c600a
408624747,-778343073,3325,36:00.4,2a3c600a
408624814,-778342951,3326,36:00.5,2a3c600a
408624885,-778342827,3327,36:00.6,2a3c600a
408624955,-778342708,3327,36:00.7,2a3c600a
408625026,-778342587,3327,36:00.8,2a3c600a
408625095,-778342467,3326,36:00.9,2a3c600a
408625168,-778342347,3327,36:01.0,2a3c600a
408625240,-778342226,3327,36:01.1,2a3c600a
408625310,-778342103,3327,36:01.2,2a3c600a
408625382,-778341981,3326,36:01.3,2a3c600a
408625451,-778341864,3326,36:01.4,2a3c600a
408625527,-778341746,3326,36:01.5,2a3c600a
408625595,-778341624,3326,36:01.5,2a3c600a
408625666,-778341504,3327,36:01.7,2a3c600a
408625739,-778341386,3326,36:01.8,2a3c600a
408625806,-778341267,3327,36:01.8,2a3c600a
