lat,long,elev,timediff
408630368,-778349295,3344,0:03:42.740000
408630368,-778349295,3344,0:03:42.830000
408630368,-778349295,3344,0:03:42.940000
408630368,-778349295,3344,0:03:43.030000
408630368,-778349295,3344,0:03:43.130000
408630368,-778349295,3344,0:03:43.230000
408630368,-778349295,3344,0:03:43.330000
408630368,-778349295,3344,0:03:43.430000
408630368,-778349295,3344,0:03:43.530000
408630368,-778349295,3344,0:03:43.630000
408630368,-778349295,3344,0:03:43.730000
408630368,-778349295,3344,0:03:43.830000
408630368,-778349295,3344,0:03:43.930000
408630368,-778349295,3344,0:03:44.030000
408630368,-778349295,3344,0:03:44.140000
408630368,-778349295,3344,0:03:44.230000
408630368,-778349295,3344,0:03:44.280000
408630368,-778349295,3344,0:03:44.380000
408630368,-778349295,3344,0:03:44.480000
408630368,-778349295,3344,0:03:44.590000
408630368,-778349295,3344,0:03:44.680000
408630368,-778349295,3344,0:03:44.780000
408630368,-778349295,3344,0:03:44.880000
408630368,-778349295,3344,0:03:44.990000
408630368,-778349295,3344,0:03:45.080000
408630368,-778349295,3344,0:03:45.180000
408630368,-778349295,3344,0:03:45.280000
408630368,-778349295,3344,0:03:45.380000
408630368,-778349295,3344,0:03:45.490000
408630368,-778349295,3344,0:03:45.600000
408630368,-778349294,3344,0:03:45.680000
408630368,-778349294,3344,0:03:45.780000
408630368,-778349294,3344,0:03:45.890000
408630368,-778349294,3344,0:03:46.100000
408630368,-778349294,3344,0:03:46.180000
408630368,-778349294,3344,0:03:46.280000
408630368,-778349294,3344,0:03:46.290000
408630368,-778349294,3344,0:03:46.400000
408630368,-778349294,3344,0:03:46.490000
408630368,-778349294,3344,0:03:46.580000
408630368,-778349294,3344,0:03:46.680000
408630368,-778349294,3344,0:03:46.780000
408630368,-778349294,3344,0:03:46.880000
408630368,-778349294,3344,0:03:46.990000
408630368,-778349294,3344,0:03:47.080000
408630368,-778349294,3344,0:03:47.180000
408630368,-778349294,3344,0:03:47.280000
408630368,-778349294,3344,0:03:47.380000
408630368,-778349294,3344,0:03:47.480000
408630368,-778349294,3344,0:03:47.590000
408630368,-778349294,3344,0:03:47.680000
408630368,-778349294,3344,0:03:47.800000
408630368,-778349294,3344,0:03:47.880000
408630368,-778349294,3344,0:03:47.990000
408630368,-778349294,3344,0:03:48.250000
408630368,-778349294,3344,0:03:48.280000
408630368,-778349294,3344,0:03:48.380000
