lat,long,elev,timediff
399915198,-794273653,3992,0:03:35.990000
399915198,-794273653,3992,0:03:36
399915198,-794273653,3992,0:03:36.100000
399915198,-794273653,3992,0:03:36.190000
399915198,-794273653,3992,0:03:36.290000
399915198,-794273653,3992,0:03:36.390000
399915198,-794273653,3992,0:03:36.500000
399915198,-794273653,3992,0:03:36.590000
399915198,-794273653,3992,0:03:36.690000
399915198,-794273653,3992,0:03:36.790000
399915198,-794273653,3992,0:03:36.890000
399915198,-794273653,3992,0:03:37
399915198,-794273653,3992,0:03:37.100000
399915198,-794273653,3992,0:03:37.190000
399915198,-794273653,3992,0:03:37.290000
399915198,-794273653,3992,0:03:37.400000
399915198,-794273653,3992,0:03:37.490000
399915198,-794273653,3992,0:03:37.600000
399915198,-794273653,3992,0:03:37.690000
399915198,-794273653,3992,0:03:37.800000
399915198,-794273653,3992,0:03:37.960000
399915198,-794273653,3992,0:03:37.990000
399915198,-794273653,3992,0:03:38.090000
399915198,-794273653,3992,0:03:38.190000
399915198,-794273653,3992,0:03:38.290000
399915198,-794273653,3992,0:03:38.400000
399915198,-794273653,3992,0:03:38.500000
399915198,-794273653,3992,0:03:38.610000
399915198,-794273653,3992,0:03:38.690000
399915198,-794273653,3992,0:03:38.800000
399915198,-794273653,3992,0:03:38.910000
399915198,-794273653,3992,0:03:39.010000
399915198,-794273653,3992,0:03:39.200000
399915198,-794273653,3992,0:03:39.290000
399915198,-794273653,3992,0:03:39.310000
399915198,-794273653,3992,0:03:39.410000
399915198,-794273653,3992,0:03:39.510000
399915198,-794273653,3992,0:03:39.610000
399915198,-794273653,3992,0:03:39.710000
399915198,-794273653,3992,0:03:39.810000
399915198,-794273653,3992,0:03:39.960000
399915198,-794273653,3992,0:03:40.020000
399915198,-794273653,3992,0:03:40.120000
399915198,-794273653,3992,0:03:40.220000
399915198,-794273653,3992,0:03:40.320000
399915198,-794273653,3992,0:03:40.420000
399915198,-794273652,3992,0:03:40.520000
399915198,-794273652,3992,0:03:40.620000
399915198,-794273652,3992,0:03:40.720000
399915198,-794273652,3992,0:03:40.820000
399915198,-794273652,3992,0:03:40.920000
399915198,-794273652,3992,0:03:41.030000
399915198,-794273652,3992,0:03:41.120000
399915198,-794273652,3992,0:03:41.220000
399915198,-794273652,3992,0:03:41.320000
399915198,-794273652,3992,0:03:41.420000
399915198,-794273652,3992,0:03:41.520000
399915198,-794273652,3992,0:03:41.620000
399915198,-794273652,3992,0:03:41.720000
399915198,-794273652,3992,0:03:41.820000
399915198,-794273652,3992,0:03:41.920000
399915198,-794273652,3992,0:03:42.020000
399915198,-794273652,3992,0:03:42.120000
399915198,-794273652,3992,0:03:42.220000
399915198,-794273652,3992,0:03:42.320000
399915198,-794273652,3992,0:03:42.420000
399915198,-794273652,3992,0:03:42.530000
399915198,-794273652,3992,0:03:42.620000
399915198,-794273652,3992,0:03:42.720000
399915198,-794273652,3992,0:03:42.820000
